,Age,Income,Emp_stat_Present,Gender,Marital_status,Loc,Notice_things_Present,All_angles_Present,Sincere_prod_Present,Lonely_Present,Worry_health_Present,Charity_Present,New_env_Present,Meeting_ppl_Present,Hob_interests_Present,Surveys_Present,Spent_onli_Present,WFH_office_Present,Ethu_Present,Income_Change,Smoking_hab_Present,Drinking_hab_Present,Sleeping_hab_Present,Healthy_Lifestyle_Present,Medi_pref_Present,Pol_interest_Present,Internet_interest_Present,Economy_Manag_intrst_Present,Medicine_intrst_Present,Religion_intrst_Present,Save_all_money_Present,Brand_non-brand_Present,Food_pref_Present,Mode_of_transport_Present,Basic_medications_Present,Digital_content_Present,Active_Investor_Present,Edu_instit_fee_Present,Change_in_data_consumption,Spend_on_gadgets_Present,Spend_on_Luxury_Present,Track_Household_exp_Present,Domestic_help_Present,Spending_kind_Present
309,0,2.0,0.0,1,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0,2.0,0.0,2.0,1.0,2,3.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
310,0,2.0,3.0,1,0.0,2.0,3.0,3.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,2.0,2.0,2,3.0,0.0,1.0,2.0,3,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0
311,0,4.0,2.0,1,0.0,2.0,0.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,0,2.0,0.0,2.0,2.0,1,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0
312,1,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,1,2.0,2.0,1.0,2.0,0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0
313,0,4.0,3.0,0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0,2.0,2.0,1,0.0,0.0,0.0,2.0,0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
314,1,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2,3.0,2.0,1.0,0.0,3,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
315,0,5.0,0.0,1,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2,2.0,0.0,2.0,2.0,1,3.0,2.0,1.0,1.0,0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
316,5,1.0,0.0,1,1.0,1.0,3.0,3.0,3.0,4.0,4.0,0.0,2.0,4.0,0.0,0.0,1,0.0,2.0,2.0,2.0,1,0.0,4.0,1.0,1.0,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0
317,0,4.0,3.0,0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2,0.0,0.0,2.0,2.0,1,3.0,0.0,1.0,2.0,0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
318,0,5.0,0.0,1,0.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,2,1.0,3.0,1.0,0.0,2,3.0,0.0,0.0,2.0,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0
